FLOW_AREA,RV_BAS_AREA,RV_GRAD,RV_LEN,RV_NAME,RV_TYPE
枝江市-安福寺镇-七里冲村/枝江市-安福寺镇-横溪河村/枝江市-安福寺镇-胡家畈村/枝江市-安福寺镇-蔡家嘴村/枝江市-安福寺镇-秦家塝村,59,6,20,横溪河,1
枝江市,22,7,8,板门溪,1
枝江市-安福寺镇-罐头嘴村/枝江市-安福寺镇-三藏寺村/枝江市-安福寺镇-江家坡村/枝江市-安福寺镇-灵芝山村,36,7,8,之字溪,1
枝江市-董市镇-新周场村/枝江市-仙女镇-青狮村/枝江市-仙女镇-赵家冲村/枝江市-仙女镇-余家冲村,79,6,21,彭余港,1
枝江市,90,6,20,蒋家冲（雅石溪）,1
夷陵区,412,6,63,乐天溪,1
夷陵区,14,7,4,牵羊河,1
夷陵区,12,7,3,南家河,1
夷陵区-邓村乡-白水头村/夷陵区-邓村乡-高台头村/夷陵区-邓村乡-竹林湾村/夷陵区-邓村乡-中包山村/夷陵区-邓村乡-袁家坪村/夷陵区-邓村乡-古城坪村,133,7,26,西河,1
夷陵区,53,8,17,孙家河,1
夷陵区,13,8,5,谭家溪河（谭家溪）,1
夷陵区-邓村乡-常家垭村/夷陵区-乐天溪镇-石洞坪村,12,7,3,响潭溪,1
夷陵区,12,7,3,芭蕉溪（夷陵）,1
夷陵区,14,7,5,水磨溪,1
夷陵区-乐天溪镇-沙坪村,17,7,7,百石溪（总溪方）,1
夷陵区,143,6,36,横溪（横溪河）,1
夷陵区-乐天溪镇-唐家坝村/夷陵区-乐天溪镇-莲沱村,15,7,4,大张溪（张溪）,1
夷陵区-三斗坪镇-暮阳村/夷陵区-三斗坪镇-雾河村/夷陵区-三斗坪镇-天桥村,119,6,27,下溪（暮阳溪）,1
夷陵区,17,7,6,天桥沟,1
夷陵区,137,6,27,下牢溪,1
