xh,stxz,dwxz,stmc,zdzmc,ssxsq,szghlb,szjclbsy,szjclbby,szxz,jnljcbxm,rjzdbl,bycbxm,cbts,cbznd,bz,bysj
125,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,54.80%,总磷(0.02-0.74),10,0.102-0.174,下雨、面源污染,2024年7月
126,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,61.30%,溶解氧（-）,11,4-5.9,下雨，面源污染，受上游来水影响，水体流动性差,2024年7月
127,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,61.30%,高锰酸盐指数(0.05),1,4.2,下雨，面源污染，受上游来水影响，水体流动性差,2024年7月
128,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅲ类,良好,高锰酸盐指数（0.1）,29.00%,溶解氧（-）,14,2.8-5.4,下雨、面源污染、受上游来水影响及回水区,2024年7月
129,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅲ类,良好,高锰酸盐指数（0.1）,29.00%,高锰酸盐指数(0.025-0.75),22,4.1-7,下雨、面源污染、受上游来水影响及回水区,2024年7月
130,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅲ类,良好,高锰酸盐指数（0.1）,29.00%,总磷(0.01-1.58),7,0.101-0.258,下雨、面源污染、受上游来水影响及回水区,2024年7月
131,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,80.60%,溶解氧（-）,2,5.9,下雨、面源污染、受上游来水影响及回水区,2024年7月
132,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,80.60%,总磷(0.21-1.55),5,0.121-0.255,下雨、面源污染、受上游来水影响及回水区,2024年7月
133,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年7月
134,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,38.70%,溶解氧（-）,19,5.6-5.9,下雨、面源污染、回水区,2024年7月
135,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,93.30%,溶解氧（-）,1,5.1,下雨、回水区,2024年7月
136,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,93.30%,高锰酸盐指数(0.075),1,4.3,下雨、回水区,2024年7月
137,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,77.40%,溶解氧（-）,4,5.3-5.8,水位太低，水体流动性差，水草多,2024年7月
138,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,77.40%,总磷(0.24-2.35),3,0.124-0.335,下雨、面源污染,2024年7月
139,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年7月
140,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年7月
141,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.80%,总磷(0.05),1,0.105,下雨、面源污染,2024年7月
142,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.80%,总磷(0.06),1,0.106,下雨、面源污染,2024年7月
143,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年7月
144,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅲ类,Ⅱ类,优,--,61.30%,总磷(0.03-0.74),12,0.103-0.174,上游三峡大坝放水影响,2024年8月
145,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年8月
146,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年8月
147,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.30%,溶解氧（-）,1,5.6,/,2024年8月
148,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.30%,高锰酸盐指数(0.625),1,6.5,下雨、面源污染,2024年8月
149,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.30%,总磷(0.24-0.26),2,0.124-0.126,下雨、面源污染,2024年8月
